GEOMETRY_ID;Type d'établissement;LIBELLE;ADRESSE;ARR_LIBELLE;ARR_INSEE;geo_shape;geo_point_2d
2176;1810;FRERES VOISIN (3) POLY;3 BOULEVARD DES FRERES VOISIN;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.2683412586594462, 48.827963596661704]}";48.8279635967, 2.26834125866
2183;1810;PLAINE (11) ELEM A;11 RUE DE LA PLAINE;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.400509738112474, 48.85004072265792]}";48.8500407227, 2.40050973811
2186;1810;CHARLES HERMITE (4) ELEM;4 rue CHARLES HERMITE;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.368666048154815, 48.89989353303013]}";48.899893533, 2.36866604815
2193;1810;CAPITAINE LAGACHE (19) ELEM;19 RUE DU CAPITAINE LAGACHE;17ème Ardt;75117;"{""type"": ""Point"", ""coordinates"": [2.32559451652534, 48.89204001891064]}";48.8920400189, 2.32559451653
2194;1810;LEVERT (1) ELEM;1 rue LEVERT;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.38963485050982, 48.87307278448862]}";48.8730727845, 2.38963485051
2195;1810;ARMAND CARREL (43) ELEM;43 rue ARMAND CARREL;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.376675106599532, 48.882658024481955]}";48.8826580245, 2.3766751066
2196;1810;LESSEPS (11) ELEM A;11 RUE DE LESSEPS;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.399715636909071, 48.859052114149634]}";48.8590521141, 2.39971563691
2197;1810;CLOS (18) ELEM;18 RUE DU CLOS;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.407068203442939, 48.85722683319172]}";48.8572268332, 2.40706820344
2207;1810;REUILLY (27) ELEM;27 RUE DE REUILLY;12ème Ardt;75112;"{""type"": ""Point"", ""coordinates"": [2.38642503357794, 48.84795893516362]}";48.8479589352, 2.38642503358
2211;1810;CARDINAL AMETTE (3) ELEM;3 PLACE DU CARDINAL AMETTE;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.297107585593066, 48.85093752805809]}";48.8509375281, 2.29710758559
2212;1810;GUSTAVE ROUANET (7) ELEM;7 rue GUSTAVE ROUANET;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.340316321986773, 48.896314757756535]}";48.8963147578, 2.34031632199
2216;1810;PYRENEES (97) ELEM;97 RUE DES PYRENEES;20ème Ardt;75120;"{""type"": ""Point"", ""coordinates"": [2.405256423886446, 48.85502457721726]}";48.8550245772, 2.40525642389
2219;1810;EMERIAU (10) ELEM;10 rue EMERIAU;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.288126201744737, 48.85159404078012]}";48.8515940408, 2.28812620174
2223;1810;OUEST (69) POLY;69 RUE DE L' OUEST;14ème Ardt;75114;"{""type"": ""Point"", ""coordinates"": [2.318560363625274, 48.83564960806687]}";48.8356496081, 2.31856036363
2231;1810;WATTIGNIES (52) ELEM;52 RUE DE WATTIGNIES;12ème Ardt;75112;"{""type"": ""Point"", ""coordinates"": [2.397131780822026, 48.83551943346185]}";48.8355194335, 2.39713178082
1636;1800;BOISSIERE  (56) MAT;56 rue BOISSIERE;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.287887994067216, 48.868147079871456]}";48.8681470799, 2.28788799407
1642;1800;PRESENTATION (4B) MAT;4 bis RUE DE LA PRESENTATION;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.377028242215793, 48.87101002154689]}";48.8710100215, 2.37702824222
1643;1800;SOURDIERE (27) MAT;27 RUE DE LA SOURDIERE;1er Ardt;75101;"{""type"": ""Point"", ""coordinates"": [2.332706145198889, 48.86670068322144]}";48.8667006832, 2.3327061452
1646;1800;TRAVERSIERE (41) MAT;41 rue TRAVERSIERE;12ème Ardt;75112;"{""type"": ""Point"", ""coordinates"": [2.373243960296632, 48.84763095999414]}";48.84763096, 2.3732439603
